"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-03-27",,,"77","H,,S","84",",,S","70",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-03-28","0.01",",,S","78","H,,S","84",",,S","70",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-03-29","0.06",",,S","79","H,,S","86",",,S","70",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-03-30","0.01",",,S","80","H,,S","86",",,S","72",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-03-31","0.00",",,S","79","H,,S","86",",,S","72",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-04-01",,,"79","H,,S","85",",,S","72",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-04-02",,,"79","H,,S","86",",,S","72",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-04-03",,,"78","H,,S","88",",,S","71",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-04-04",,,"79","H,,S","88",",,S","70",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-04-05","1.00",",,S","78","H,,S","88",",,S","70",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-04-06","0.18",",,S","78","H,,S","89",",,S","70",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-04-07","0.00",",,S","80","H,,S","88",",,S","74",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-04-08",,,"80","H,,S","87",",,S","74",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-04-09",,,"79","H,,S","87",",,S","69",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-04-10","0.11",",,S","78","H,,S","85",",,S","72",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-04-11","0.00",",,S","79","H,,S","86",",,S","68",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-04-12",,,"80","H,,S","86",",,S","71",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-04-13",,,"79","H,,S","85",",,S","73",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-04-14",,,"80","H,,S","85",",,S","73",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-04-15","0.06",",,S","77","H,,S","84",",,S","72",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-04-16","0.07",",,S","78","H,,S","85",",,S","72",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-04-17","0.00",",,S","78","H,,S","85",",,S","73",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-04-18",,,"78","H,,S","86",",,S","70",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-04-19",,,"79","H,,S","86",",,S","70",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-04-20","0.53",",,S","78","H,,S","86",",,S","71",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-04-21","0.00",",,S","79","H,,S","84",",,S","71",",,S"
"DRM00078482","MARIA MONTEZ INTERNATIONAL, DR","18.251","-71.12","3.0","2000-04-22",,,"79","H,,S","85",",,S","72",",,S"
